"OBJECTID_1"	"INCIDENT_ID"	"OFFENSE_ID"	"OFFENSE_CODE"	"OFFENSE_CODE_EXTENSION"	"OFFENSE_TYPE_ID"	"OFFENSE_CATEGORY_ID"	"FIRST_OCCURENCE_DATE"	"LAST_OCCURENCE_DATE"	"REPORTED_DATE"	"INCIDENT_ADDRESS"	"GEO_X"	"GEO_Y"	"GEO_LON"	"GEO_LAT"	"DISTRICT_ID"	"PRECINCT_ID"	"NEIGHBORHOOD_ID"	"BICYCLE_IND"	"PEDESTRIAN_IND"
121489	2017444674	201744467454410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-06 11:22:00"	""	"2017-07-06 12:17:00"	"4700 BLOCK N FEDERAL BLVD"	3133512	1710182	-105.024955	39.7822985	1	111	"Sunnyside"	0	0
121490	2017444841	201744484154410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-06 12:32:00"	""	"2017-07-06 12:32:00"	"S TAMARAC DR / E HAMPDEN AVE"	3169290	1663335	-104.8987608	39.6531124	3	323	"Hampden South"	0	0
121491	2017444920	201744492054010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-06 13:14:00"	""	"2017-07-06 13:34:00"	"5100 BLOCK W COLFAX AVE"	3125913	1694777	-105.0522624	39.7401152	1	122	"West Colfax"	0	0
121492	2017445204	201744520454410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-06 15:17:00"	""	"2017-07-06 16:04:00"	"I25 HWYNB / 20TH ST"	3139350	1702436	-105.0043337	39.7609489	1	113	"Highland"	0	0
121493	2017445321	201744532154410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-06 16:09:00.000001"	""	"2017-07-06 17:06:00"	"2800 BLOCK N ZUNI ST"	3136148	1701268	-105.0157451	39.75779	1	113	"Highland"	0	0
121498	2017488778	201748877854010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-23 23:00:00"	""	"2017-07-24 11:36:00"	"3160 W LOUISIANA AVE"	3132915	1677517	-105.0276834	39.6926355	4	421	"Mar Lee"	0	0
121499	2017489187	201748918754410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-24 13:29:00"	""	"2017-07-24 14:58:00"	"S SHERIDAN BLVD / W FLORIDA AVE"	3125721	1676359	-105.0532672	39.6895564	4	421	"Mar Lee"	0	0
121500	2017489509	201748950954410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-24 15:57:00"	""	"2017-07-24 16:43:00"	"0 BLOCK N COLORADO BLVD"	3157361	1686473	-104.94062	39.7168405	3	321	"Hilltop"	0	0
121501	2017490094	201749009454010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-22 23:00:00"	""	"2017-07-24 20:23:00.000001"	"E COLFAX AVE / N UINTA ST"	3170739	1695051	-104.892862	39.7401529	2	223	"East Colfax"	0	0
121502	2017491034	201749103454410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-25 09:00:00"	""	"2017-07-25 12:09:00"	"9700 BLOCK E ALAMEDA AVE"	3175837	1683619	-104.875014	39.7086751	3	321	"Windsor"	0	0
